,cagr,mean_monthly,median_monthly,ann_vol,sharpe,max_drawdown,calmar,hit_rate_monthly,worst_month,best_month,avg_n_positions,turnover_annualized,name,start,end,n_days,final_equity,sortino,avg_gross_exposure
multifactor_mvr,0.1268505486897149,0.010979536342687,0.0053876380397961,0.1721446294402299,0.7816203109175117,-0.3633098472069251,0.3491525199906471,0.5546218487394958,-0.1415564934968277,0.1609870072369235,26.48885350318471,18.605732484076434,multifactor_mvr,2016-04-01,2026-03-27,2512.0,329520.31387212063,0.9184027504366308,0.8829617834394903
donchian_breakout,0.1216498792682561,0.0107852072499851,0.016280424114963,0.1647026379159263,0.781328955636024,-0.2942183360895938,0.4134680417443864,0.6218487394957983,-0.1594222821998826,0.1456345398121148,56.172372611464965,10.259960598129233,donchian_breakout,2016-04-01,2026-03-27,2512.0,314646.1187421913,0.9569966328105526,0.956210191082804
sector_momentum_rotation,0.121887691627357,0.0105585336160433,0.0129967571180529,0.1860626688899843,0.7127535238558712,-0.3298235211517658,0.3695542731510385,0.6134453781512605,-0.0837317644236751,0.1301392905289764,2.707404458598726,7.323248407643312,sector_momentum_rotation,2016-04-01,2026-03-27,2512.0,315312.8621405755,0.8678872222559018,0.9247611464968152
sector_rotation,0.1182390825067405,0.0101986691296713,0.0141827903543576,0.1737805671545831,0.7317642147342674,-0.3215169966868458,0.3677537540010805,0.6218487394957983,-0.0956724379333689,0.1125425104056907,3.832802547770701,8.426751592356688,,,,,,,
momentum_quality_blend,0.1117681555833292,0.0100713290805891,0.0003529572922553,0.2114662278718361,0.6085131264225621,-0.388449334240202,0.2877290439998955,0.5126050420168067,-0.1435703204938471,0.1387596322300011,26.48885350318471,10.80095541401274,momentum_quality_blend,2016-04-01,2026-03-27,2512.0,288037.7522304786,0.7093123331939752,0.8829617834394903
mean_reversion_5d,0.0886115607885609,0.0100676478543639,0.0126508172861972,0.3223298495220126,0.4259289213738403,-0.652493064632999,0.1358046017522061,0.5882352941176471,-0.3266334814822921,0.243657917932448,29.64171974522293,90.45382165605096,,,,,,,
calendar_tom,0.0838518616701529,0.007666264739625,0.0031622861694851,0.1454868932303285,0.6274615729768266,-0.2986355555815834,0.2807832493584162,0.5294117647058824,-0.0997797982310538,0.1407122767914606,8.359872611464969,39.11082802547771,calendar_tom,2016-04-01,2026-03-27,2512.0,223446.0571356531,0.4965535797754093,0.2786624203821655
low_vol_quality,0.0672007373886596,0.0057943803584306,0.0088077307604776,0.0977190548716539,0.716144088476605,-0.2724813488455851,0.2466250907571005,0.6218487394957983,-0.1124795508115246,0.0581093008975344,28.746019108280255,5.854606195572956,low_vol_quality,2016-04-01,2026-03-27,2512.0,191441.38670146943,0.7833502728759634,0.9582006369426752
risk_parity_etf,0.0590672557786371,0.0051311144607916,0.0064745562006671,0.0899766583088153,0.6842626202963185,-0.2036465235854452,0.2900479455219079,0.6386554621848739,-0.0808288026697253,0.0640052026883308,4.791003184713376,1.090262242546449,risk_parity_etf,2016-04-01,2026-03-27,2512.0,177361.80675682353,0.8187306421597864,0.9507251497450424
ts_momentum_multiasset,0.0375833413848898,0.0032609428961625,0.0045416522693988,0.0754806926399522,0.527647144887978,-0.1600783229826641,0.234780954001873,0.5714285714285714,-0.0443030276854304,0.0499007119096408,13.651671974522293,3.3270777079458353,,,,,,,
xs_momentum_ls_neutral,0.015676285101088,0.002788240569663,0.0,0.2498614016097814,0.1888234607836503,-0.4358955692831597,0.0359633962943649,0.4873949579831932,-0.17938443946867,0.1464146997999944,88.29617834394904,8.923328025477703,,,,,,,
