cand,base,alloc,overlay,tc,track,mean_monthly,sharpe,max_drawdown,calmar,turnover_ann,avg_gross,ep_2018Q4_ret,ep_2018Q4_dd,ep_covid_ret,ep_covid_dd,ep_2022_ret,ep_2022_dd,ep_2026Q1_ret,ep_2026Q1_dd,tier_events
ASM_Asx_TF1_tc20,A,sx,TF1,20.0,tier_loop_cc,0.04068352519675562,1.0999839458140257,-0.5131923923303088,0.9221107253468477,17.185555195607098,1.4701382694792138,-0.4920926888992493,-0.4920926888992493,-0.25913602226809396,-0.25913602226809396,0.04869145899175176,-0.33903775472491937,,,"{""tier1"": 17, ""tier2"": 1, ""tier3"": 0}"
ASM_Asx_T,A,sx,T,5.0,tier_loop_cc,0.04389737748158652,1.1390334518135936,-0.5242169547519588,0.9907504877852658,16.43462809670676,1.5098103066421829,-0.42493633597162817,-0.5035950889591967,-0.34783927509018087,-0.4265246056958296,0.03220600055333822,-0.416539581430881,,,"{""tier1"": 19, ""tier2"": 1, ""tier3"": 0}"
ASM_Asx_T_tc10,A,sx,T,10.0,tier_loop_cc,0.0431694445157851,1.1207293601082842,-0.5255715059293606,0.964254937601571,16.43462809670676,1.5098103066421829,-0.42657353841288914,-0.5050083504518752,-0.34907994621283034,-0.4272038098538893,0.022947963515462577,-0.4183446181490168,,,"{""tier1"": 19, ""tier2"": 1, ""tier3"": 0}"
ASM_Asx_T_tc20,A,sx,T,20.0,tier_loop_cc,0.04171412970859658,1.0840946787564307,-0.5282714911267778,0.9122325323058429,16.43462809670676,1.5098103066421829,-0.42983692368051585,-0.5078253611148689,-0.3515564140256028,-0.42856085854909776,0.004664241860449003,-0.4219409147186851,,,"{""tier1"": 19, ""tier2"": 1, ""tier3"": 0}"
ASM_Asx_F1,A,sx,F1,5.0,next_open,0.046149974337393075,1.1263221783936275,-0.5336134295422954,1.0085580799027491,15.30772630413533,1.5624145798112739,-0.5129495828113566,-0.5129495828113566,-0.3379820033173102,-0.3379820033173102,0.21966901877763223,-0.3113051755602749,,,
ASM_Asx_F1_tc10,A,sx,F1,10.0,next_open,0.045478467862262506,1.1107793472659284,-0.535419557050629,0.9833116688036927,15.30772630413533,1.5624145798112739,-0.5144292313932628,-0.5144292313932628,-0.339061376932806,-0.339061376932806,0.20880573289256676,-0.3116834702262964,,,
ASM_Asx_F1_tc20,A,sx,F1,20.0,next_open,0.04413571063201055,1.0796178069385214,-0.5390150904349784,0.933804098327997,15.30772630413533,1.5624145798112739,-0.5173784730361415,-0.5173784730361415,-0.34121748963359533,-0.34121748963359533,0.18734557765833193,-0.31244005955833953,,,
ASM_Bst_base,B,st,none,5.0,next_open,0.048107904869917374,1.125157418747987,-0.5828254312841059,0.9615804982281005,13.34455493264759,1.6189038253738959,-0.415212887885244,-0.49019530670092915,-0.4501475816788857,-0.5828254312841059,-0.10715210750782145,-0.41827095402418424,,,
ASM_Bst_TF1,B,st,TF1,5.0,tier_loop_cc,0.05012614116581189,1.3496845845697574,-0.4685606824454489,1.333958215781864,15.803482916270479,1.4860799962537707,-0.4470317112712313,-0.4470317112712313,-0.24087323133392935,-0.24087323133392935,0.010199759173402212,-0.2910458063533342,,,"{""tier1"": 15, ""tier2"": 0, ""tier3"": 0}"
ASM_Bst_TF1_tc10,B,st,TF1,10.0,tier_loop_cc,0.04942998778694554,1.3307846397932461,-0.4701848666998014,1.3019454393392083,15.803482916270479,1.4860799962537707,-0.44872169234346804,-0.44872169234346804,-0.2421459391723383,-0.2421459391723383,-0.00016594588875984417,-0.29353402375541204,,,"{""tier1"": 15, ""tier2"": 0, ""tier3"": 0}"
